source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia
6,AEQ-08,AEQ-08,Abrillantador para Inoxidable 1lts,2.0,1.0,0.0,1.0,0.0,,60.34,0,60.34,2024-03-12T00:00:00,Act Nov 2025
7,AEQ-07,AEQ-07,Abrillantador para Inoxidable Galón,2.0,1.0,0.0,1.0,1.0,,297.55,0,297.55,2024-03-12T00:00:00,Act Nov 2025
8,R-GS 2162-MR,R-GS 2162-MR,Bidon agente abrillantador MEIKO,3.0,3.0,0.0,3.0,3.0,,665.99,0,665.99,2026-06-06T00:00:00,Vigencia de precio
9,982-M 4544,982-M 4544,Bidon desincrustante MEIKO,3.0,3.0,0.0,3.0,3.0,,745.91,0,745.91,2026-06-06T00:00:00,Vigencia de precio
10,D-GS 1152-MT,D-GS 1152-MT,Bidon detergente alcalino MEIKO,3.0,3.0,0.0,3.0,3.0,,568.41,0,568.41,2026-06-06T00:00:00,Vigencia de precio
11,AEQ-03,AEQ-03,Desengrasante citrico Galón,10.0,9.0,0.0,9.0,8.0,,263.6,0,263.6,2026-03-25T00:00:00,Act Nov 2025
12,DB1044A,DB1044A,Detergente en SPRAY&RINSE 12x750ML,5.0,4.0,0.0,4.0,2.0,,1808.39,0,1808.39,03-en-26,Act Feb 2026
13,DB1015A0 X LITRO,DB1015A0 X LITRO,Detergente Rinse & PLUS x lt,10.0,7.0,0.0,7.0,7.0,,189.533,0,189.533,,Act Nov 2025
14,DB1076A0,DB1076A0,Detergente Rinse & ULTRA/PLUS 10 bts,10.0,7.0,0.0,7.0,1.0,,1891.0,0,1891.0,2026-03-24T00:00:00,Act Nov 2025
15,DB1101A0,DB1101A0,Detergente Rinse Speed,3.0,2.0,0.0,2.0,2.0,,1985.33,0,1985.33,2026-03-24T00:00:00,Act Nov 2025
16,AEQ-04,AEQ-04,Gel antibacterial Galón,4.0,4.0,0.0,4.0,4.0,,226.03,0,226.03,2024-03-12T00:00:00,Act Nov 2025
17,AEQ-02,AEQ-02,Limpiaparrillas Galón,13.0,10.0,0.0,10.0,8.0,,245.11,0,245.11,2026-03-25T00:00:00,Act Nov 2025
18,CAFIZA,CAFIZA,Limpiador para máquina de cafes,2.0,0.0,0.0,0.0,2.0,,379.0,0,379.0,2026-05-23T00:00:00,Vigencia de precio
19,56.00.562,56.00.562,Pastillas de mantenimiento CARE 150 Tabs,39.0,11.0,0.0,11.0,7.0,,1761.2,0,1761.2,2026-02-28T00:00:00,Vigencia de precio
20,56.00.210A,56.00.210A,Pastillas detergentes 100 Tabs,65.0,36.0,0.0,36.0,22.0,,1319.92,0,1319.92,2026-02-28T00:00:00,Vigencia de precio
21,56.01.535,56.01.535,Pastillas detergentes Active Green 150 Tabs,10.0,10.0,0.0,10.0,8.0,,1999.2,0,1999.2,2026-02-28T00:00:00,Vigencia de precio
22,AEQ-01,AEQ-01,Quitacochambre Galon,13.0,7.0,0.0,7.0,7.0,,240.54,0,240.54,2026-11-25T00:00:00,Act Nov 2025
23,DB1085A0,DB1085A0,Removedor de cal UNOX.D&CAL,3.0,1.0,0.0,1.0,1.0,,1282.85,0,1282.85,2026-03-11T00:00:00,Act Nov 2025
24,AEQ-06,AEQ-06,Sarricida Galón,1.0,1.0,0.0,1.0,1.0,,184.66,0,184.66,2024-03-12T00:00:00,Act Nov 2025
25,AEQ-09,AEQ-09,Shampo líquido para manos manzana Galón,1.0,2.0,0.0,2.0,1.0,,123.28,0,123.28,2024-03-12T00:00:00,Act Nov 2025
26,AEQ-05,AEQ-05,Shampoo liquido para manos sin olor Galón,11.0,11.0,0.0,11.0,11.0,,123.28,0,123.28,2024-03-12T00:00:00,Act Nov 2025
30,12191309,12191309,"Biasagra de puerta, superior izquierda, mesa ASBER",1.0,1.0,0.0,1.0,1.0,,0.0,14.0,294.0,,
31,480HP,480HP,Bisagra compuesta para puertas superpuestasFERMOD,6.0,6.0,0.0,6.0,6.0,,0,15.3,321.3,,Act Nov 2025
32,12216798,12216798,Bisagra inferior ASBER,2.0,2.0,0.0,2.0,2.0,,535.0,0,535.0,,
33,YL-1238-4,YL-1238-4,Bisagra para cámara de refrigeración COLDTEK,2.0,0.0,0.0,0.0,0.0,,950.0,0,950.0,,
34,12216800,12216800,Bisagra superior ASBER,2.0,2.0,0.0,2.0,2.0,,535.0,0,535.0,,
35,BIS-GEN,BIS-GEN,Bisagras para refrigerador GENERICO,4.0,4.0,0.0,4.0,4.0,,290.0,0,290.0,,Vigencia de precio
36,63762,63762,Cerradura con llave cilindro PERLICK,2.0,3.0,0.0,3.0,3.0,,1014.84,0,1014.84,,Vigencia de precio
37,CSG-1,CSG-1,Cierre para camara frigorifica,1.0,1.0,0.0,1.0,1.0,,0,130.0,2730.0,,Act Nov 2025
38,12203287,12203287,Conjunto de bisagras derecho ASBER,1.0,1.0,0.0,1.0,1.0,,850.0,0,850.0,,
39,12203286,12203286,"Conjunto de bisagras mesa, lado izquierdo ASBER",2.0,2.0,0.0,2.0,2.0,,720.0,0,720.0,,
40,GS-2398,GS-2398,Empaque Alto-Shaam 1000-TH1,2.0,2.0,0.0,2.0,2.0,,853.6,0,853.6,,Vigencia de precio
41,EMP-ARRASTRE,EMP-ARRASTRE,Empaque de arrastre para camara frigorifica,2.0,2.0,0.0,2.0,2.0,,300.0,0,300.0,,Vigencia de precio
42,EMP-IMP02,EMP-IMP02,Empaque importado dimensiones 53 x 74 cm negro,2.0,0.0,0.0,0.0,0.0,,1300.0,0,1300.0,,
43,EMP-IMP01,EMP-IMP01,Empaque importado dimensiones 57 x 62 cm negro,1.0,1.0,0.0,1.0,1.0,,1300.0,0,1300.0,,Vigencia de precio
44,EMP-IMP03,EMP-IMP03,Empaque importado dimensiones 64.5 x 30 cm,3.0,3.0,0.0,3.0,3.0,,750.0,0,750.0,,Act Nov 2025
45,EMP-UNI08,EMP-UNI08,Empaque universal dimensiones 95 X 56 cm negro,1.0,1.0,0.0,1.0,1.0,,650.0,0,650.0,,Vigencia de precio
46,EKC-001,EKC-001,Empaque universal con ceja dimensiones Torrey 68 X 62.5 cm negro,2.0,2.0,0.0,2.0,2.0,,450.0,0,450.0,,Vigencia de precio
47,EMP-UNI07,EMP-UNI07,Empaque universal dimensiones 177.5 x 52.5 cm negro,3.0,3.0,0.0,3.0,3.0,,603.44,0,603.44,,Vigencia de precio
48,EMP-UNI01,EMP-UNI01,Empaque universal dimensiones 54.5 x 63.5 cm negro,2.0,2.0,0.0,2.0,2.0,,450.0,0,450.0,,Vigencia de precio
49,EMP-UNI06,EMP-UNI06,Empaque universal dimensiones 61 x 140 cm negro,1.0,1.0,0.0,1.0,1.0,,650.0,0,650.0,,Vigencia de precio
50,EMP-UNI03,EMP-UNI03,Empaque universal dimensiones 64 X 55.5 cm negro,2.0,2.0,0.0,2.0,0.0,,450.0,0,450.0,,Vigencia de precio
51,EMP-UNI02,EMP-UNI02,Empaque universal dimensiones 70.5 x 66 cm negro,2.0,0.0,0.0,0.0,0.0,,500.0,0,500.0,,
52,EMP-UNI05,EMP-UNI05,Empaque universal dimensiones 73.5 X 50 cm negro,1.0,1.0,0.0,1.0,1.0,,500.0,0,500.0,,Vigencia de precio
53,12190016,12190016,"Espaciador, cuadrado, nylon, puerta, pelaje, a/c ASBER",1.0,1.0,0.0,1.0,1.0,,0,3.35,70.35000000000001,,
54,1190002,1190002,Goma espesor 73.5 c 59 x 1 mm Cafetera Simonelli,1.0,22.0,0.0,22.0,22.0,,42.0,0,42.0,,Vigencia de precio
55,1026313,1026313,Interruptor de puerta PERLICK,1.0,1.0,0.0,1.0,1.0,,303.0,0,303.0,,Vigencia de precio
56,1186837,1186837,"Junta portafolio 72 x 58x 7 mm, cafetera Simonelli",11.0,11.0,0.0,11.0,11.0,,54.0,0,54.0,,Vigencia de precio
57,63698,63698,"Sonda de temperatura NTC 10K, PERLICK",1.0,0.0,0.0,0.0,0.0,,878.92,0,878.92,,Vigencia de precio
61,VCRB25-2,VCRB25-2,"Asador a gas de 25"" ME2205256HB, ME2401031HB, ME2401032HB",1.0,1.0,2.0,3.0,3.0,,0,1088.0,0.0,2025-06-25T00:00:00,Act Nov 2025
62,BCR150,BCR150,Bascula electronica Tipo plataforma de 150kg,1.0,3.0,0.0,3.0,3.0,,1350.0,0,1350.0,2026-02-05T00:00:00,Act Feb 2026
63,BCR300,BCR300,Bascula electronica Tipo plataforma de 300kg,1.0,1.0,0.0,1.0,1.0,,1650.0,0,1650.0,2026-02-05T00:00:00,Act Feb 2026
64,XWARC-07EF,XWARC-07EF,Base Stand Alto Horno Combinado 7 Bandejas,0.0,0.0,0.0,0.0,0.0,,11157.3,0,11157.3,,Vigencia de precio
65,XWVRC-0711-H,XWVRC-0711-H,Base Stand Alto Horno Combinado Multifuncional,1.0,1.0,0.0,1.0,1.0,,9853.2,0,9853.2,2024-08-05T00:00:00,Vigencia de precio
66,BERMEXB2,BERMEXB2,Batidora Planetaria Comercial 20Ltt 1.5 Hp 6kg Amasa Rojo 60 Hz BERMEX B2,1.0,3.0,0.0,3.0,3.0,,13700.0,0,13700.0,2025-07-08T00:00:00,Act Nov 2025
67,XEKPT-08HS-B,XEKPT-08HS-B,Camara fermentadora 2022D0039181,0.0,0.0,0.0,0.0,0.0,,24777.9,0,24777.9,2024-08-05T00:00:00,
68,5424ND2PSPFB,5424ND2PSPFB,Campana de acero inoxidable de 8 pies,1.0,1.0,0.0,1.0,1.0,,150768.39,0,150768.39,,Act Nov 2025
69,XAVC-10FS-GPRM-,XAVC-10FS-GPRM-,"COMBINADO DE GAS 8 18X26"" PLUS S/N:2024E0052332",0.0,0.0,0.0,0.0,0.0,,166320.0,0,166320.0,,
70,EVB32,EVB32,Empacadora Al Alto Vacio Bermex EVB-32,1.0,0.0,0.0,0.0,0.0,,18300.0,0,18300.0,2025-07-08T00:00:00,Act Nov 2025
71,ECM35,ECM35,"Empacadora Cobacorp, barra selladora 5cm",1.0,1.0,0.0,1.0,1.0,,39950.0,0,39950.0,2026-02-05T00:00:00,Act Feb 2026
72,SX36-6BP,SX36-6BP,Estufa con horno de 6 quemadores ME2401019HB,1.0,0.0,0.0,0.0,0.0,,0,2318.96,0.0,2024-06-25T00:00:00,Act Nov 2025
73,VCRH12-2,VCRH12-2,"Estufa de mesa para gas 12"" ME2111232HB, ME2111231HB",2.0,0.0,0.0,0.0,0.0,,0,501.0,0.0,2025-06-25T00:00:00,Act Nov 2025
74,VCRH24-2,VCRH24-2,"Estufa de mesa para gas 24"" ME2401137HB, ME2401138HB",2.0,0.0,0.0,0.0,0.0,,0,927.2,0.0,2024-06-25T00:00:00,Act Nov 2025
75,EC-2T MASTER PRM,EC-2T MASTER PRM,Estufon a gas de 2 quemadores CORIAT,1.0,1.0,0.0,1.0,1.0,,12714.539999999999,0,12714.539999999999,2026-02-25T00:00:00,Act Feb 2026
76,EC-1T MASTER PRM,EC-1T MASTER PRM,Estufon sencillo CORIAT,1.0,1.0,0.0,1.0,1.0,,7840.46,0,7840.46,2024-12-27T00:00:00,Act Nov 2025
77,VSP200F-1,VSP200F-1,Fogon para ollas a gas DV1152764,1.0,1.0,0.0,1.0,1.0,,0,4950.0,103950.0,,Act Nov 2025
78,LG300-2,LG300-2,"Freidora a gas 16kg  ME2310092HB, ME2406338HB, ME2310100HB, ME2402066HB, ME2406334HB, ME2406445HB, ME2406444HB",2.0,1.0,2.0,3.0,3.0,,0,1189.0,24969.0,2024-07-07T00:00:00,Act Feb 2027
79,VICM24-201,VICM24-201,"Gratinador de 24"" ME2310153HB",1.0,1.0,0.0,1.0,1.0,,0,1060.4,22268.4,2024-06-25T00:00:00,Act Nov 2025
80,XEVL-2021-GPRS,XEVL-2021-GPRS,Horno a gas combinado BIG PLUS 20 GN 2/1 bandejas 2022E0053800,0.0,1.0,0.0,1.0,0.0,,352840.95,0,352840.95,2024-08-05T00:00:00,Vigencia de precio
81,XEFR-04HS-ETDV,XEFR-04HS-ETDV,Horno BakerLux Arianna 4 bandejas 2024F0056841,1.0,0.0,0.0,0.0,0.0,,24633.0,0,24633.0,2024-08-05T00:00:00,
82,XEVC-1011-GPRM,XEVC-1011-GPRM,"Horno combinado a gas CHEF TOP 10 GN1/1 plus, serie 2023A0005377",1.0,1.0,0.0,1.0,1.0,,152460.0,0,152460.0,2024-04-25T00:00:00,Vigencia de precio
83,XEVC-0711-GPRM-MS,XEVC-0711-GPRM-MS,Horno combinado a gas CHEF TOP 7 GN 1/1 bandejas 2024D0039296,0.0,0.0,0.0,0.0,0.0,,119196.0,0,119196.0,2024-08-05T00:00:00,
84,VC4GD-21D150K,VC4GD-21D150K,Horno de convección a gas 482045201,1.0,1.0,0.0,1.0,1.0,,0.0,8784.96,184484.15999999997,2022-12-07T00:00:00,Act Nov 2025
85,T043C,T043C,Horno De Convección Venix Torcello,1.0,1.0,0.0,1.0,1.0,,15500.0,0,15500.0,2025-07-08T00:00:00,Act Nov 2025
86,XENA-1011-EXRS,XENA-1011-EXRS,Horno mixto electrico Cheftop x,1.0,1.0,0.0,1.0,1.0,,215326.0,0,215326.0,2026-02-05T00:00:00,Act Feb 2026
87,BNS23,BNS23,Lavamanos accionador de rodilla a pared,1.0,0.0,0.0,0.0,0.0,,8550.0,0,8550.0,2026-02-05T00:00:00,Act Feb 2026
88,VCRG24-M2,VCRG24-M2,"Plancha a gas de 24""  ME2310116HB, ME2401055HB, ME2401059HB",1.0,0.0,0.0,0.0,0.0,,0,844.2,17728.2,2024-06-25T00:00:00,Act Nov 2025
89,VCRG36-M2,VCRG36-M2,"Plancha a gas de 36"" ME2402220HB, ME2401083HB, ME2502060HB, ME2502061HB",1.0,1.0,0.0,1.0,1.0,,0,1141.8,23977.8,2024-06-25T00:00:00,Act Feb 2026
90,BN-813,BN-813,Plancha Panini Electrica Doble 50 a 300,0.0,0.0,0.0,0.0,0.0,,6981.0,0,6981.0,,Act Nov 2025
91,MS300CT,MS300CT,Rebanadora Bermex MS-300-CT Con Cuchilla De Acero,1.0,1.0,0.0,1.0,1.0,,9700.0,0,9700.0,2025-07-08T00:00:00,Act Nov 2025
92,CLUC-48R-SD,CLUC-48R-SD,"Refrigerador compacto bajo mostrador 48"" 23E01219",0.0,0.0,0.0,0.0,0.0,,36617.93,0,36617.93,2024-01-17T00:00:00,
93,153A-3,153A-3,Torre Dispensadora de Cerveza de Barril TURBO AIR,1.0,1.0,0.0,1.0,1.0,,0.0,398.0,8358.0,,Act Nov 2025
94,VIP14901/3C,VIP14901/3C,Vitrina fria para ingredientes insertos de 1/3 1.5mts INFRICO 3000792670,1.0,1.0,0.0,1.0,1.0,,0.0,2049.75,43044.75,,Act Nov 2025
98,29120,29120,Cuello adicional FISHHER,1.0,1.0,0.0,1.0,1.0,,1835.74,0,1835.74,,
99,54410,54410,"Cuello curvo para mezcladora 12"" FISHER",2.0,2.0,0.0,2.0,2.0,,768.6,0,768.6,,
100,3963,3963,"Cuello recto para mezcladora 12"" FISHER",1.0,1.0,0.0,1.0,1.0,,752.91,0,752.91,,
101,2750,2750,Grifo para llenado de ollas FISHER,1.0,1.0,0.0,1.0,1.0,,6347.25,0,6347.25,,
102,21-406L,21-406L,Juegos de conectores para mezcladora KROWNE,5.0,5.0,0.0,5.0,5.0,,252.17,0,252.17,,Vigencia de precio
103,3510,3510,"Llave de montaje en cubierta de 4 pulgadas cuello osilante 6"" FISHER",1.0,0.0,0.0,0.0,0.0,,2804.82,0,2804.82,,
104,15-812L,15-812L,"Llave mezcaldora a cubierta de 8"" con cuello recto 12"" KROWNE",2.0,1.0,0.0,1.0,1.0,,2824.45,0,2824.45,,
105,11-400L,11-400L,"Llave mezcladora a cubierta de 4"" con cuello de ganzo KROWNE",1.0,0.0,0.0,0.0,0.0,,1563.45,0,1563.45,,
106,26174,26174,"Llave mezcladora de 4"" a cubierta cuello 6"" FISHER",1.0,0.0,0.0,0.0,0.0,,1649.1,0,1649.1,,
107,26131,26131,"Llave mezcladora de 8"" a cubierta FISHER",1.0,0.0,0.0,0.0,0.0,,1350.0,0,1350.0,,
108,2913,2913,"Mango, aislado, 3/4-14 X 3/4-14 FISHER",1.0,1.0,0.0,1.0,1.0,,387.9,0,387.9,,
109,MCGS18010,MCGS18010,"Mezcladora a cubierta 8"" uso pesado sin cuello CONCASSE",2.0,2.0,0.0,2.0,2.0,,1295.2,0,1295.2,,Vigencia de precio
110,3248,3248,"Mezcladora a pared de 8"" DICA",1.0,1.0,0.0,1.0,1.0,,978.0,0,978.0,,
111,MEZ-CM10,MEZ-CM10,"Mezcladora de cubierta de 4"" cuello recto INOXIPLUS",1.0,0.0,0.0,0.0,0.0,,1500.0,0,1500.0,,
112,2210-1WB,2210-1WB,Mezcladora de pared prelavado FISHER,1.0,2.0,0.0,2.0,2.0,,5782.33,0,5782.33,,
113,24848,24848,Válvula Desagüe para Fregadero 1 1/2 FISHER,2.0,3.0,0.0,3.0,3.0,,1339.8,0,1339.8,,
117,90-3041,90-3041,Adaptador de gas niple de 5/8 a 3/4 DORMONT,1.0,0.0,0.0,0.0,0.0,,0,3.79,79.59,,Act Nov 2025
118,90-3032,90-3032,Adaptador macho a gas 3/4 a 5/8 DORMONT,5.0,4.0,0.0,4.0,4.0,,0,3.14,65.94,2025-02-07T00:00:00,Act Nov 2025
119,COD-11/4,COD-11/4,"Codo Calle 90° de 1 1/4"" DORMONT",1.0,1.0,0.0,1.0,1.0,,100.0,0,100.0,,Vigencia de precio
120,COD-1/2,COD-1/2,"Codo Calle 90° de 1/2"" DORMONT",3.0,6.0,0.0,6.0,6.0,,100.0,0,100.0,,Vigencia de precio
121,COD-3/4,COD-3/4,"Codo Calle 90° de 3/4"" DORMONT",3.0,0.0,0.0,0.0,0.0,,120.0,0,120.0,,Vigencia de precio
122,CTB,CTB,"Conector de barril 3/8"" T y B",5.0,0.0,0.0,0.0,5.0,,55.0,0,55.0,2026-05-18T00:00:00,Vigencia de precio
123,CEPF,CEPF,"Conector esprea para fleer 3/8""",3.0,0.0,0.0,0.0,3.0,,34.0,0,34.0,2026-05-18T00:00:00,Vigencia de precio
124,A50,A50,Conexión rapida 1/2 A50 DORMONT,1.0,1.0,0.0,1.0,1.0,,0,46.38,973.98,,Act Nov 2025
125,A75,A75,Conexión rapida 3/4 A75 DORMONT,3.0,3.0,0.0,3.0,3.0,,0,61.95,1300.95,,Act Nov 2025
126,ED,ED,"Esprea alta presión drago 1/4"" NPT x 1/"" 20",10.0,8.0,0.0,8.0,13.0,,30.0,0,30.0,2026-05-18T00:00:00,Vigencia de precio
127,EB,EB,"Esprea barber 35mm 1/8"" NPT",5.0,0.0,0.0,0.0,5.0,,18.0,0,18.0,2026-05-18T00:00:00,Vigencia de precio
128,EBTF,EBTF,"Esprea conector de barril 1/4"" para tipo F",5.0,0.0,0.0,0.0,5.0,,42.0,0,42.0,2026-05-18T00:00:00,Vigencia de precio
129,CE,CE,"Esprea macho 1/8"" NPT",5.0,0.0,0.0,0.0,5.0,,28.0,0,28.0,2026-05-18T00:00:00,Vigencia de precio
130,ER,ER,"Esprea ranson 1/4"" a 1/4""",5.0,16.0,0.0,16.0,21.0,,36.0,0,36.0,2026-05-18T00:00:00,Vigencia de precio
131,HG-2E-48,HG-2E-48,"Kit de manguera lisa a gas 1"" x 3/4""",1.0,1.0,0.0,1.0,0.0,,4120.0,0,4120.0,,Act Nov 2025
132,1675KIT48,1675KIT48,"Kit de sistema de seguridad, 3/4 x48"" pulgadas de diámetro DORMONT",2.0,1.0,3.0,4.0,4.0,,0,197.0,4137.0,,Act Nov 2025
133,1650KIT48,1650KIT48,"Kit Manguera de gas con sistema de seguridad 1/2 X 48"" DORMONT",1.0,1.0,1.0,2.0,2.0,,0,147.0,3087.0,,Act Nov 2025
134,48-4142-60,48-4142-60,"Manguera amarrilla lisa 3/4 x 60"" DORMONT",0.0,0.0,0.0,0.0,0.0,,1751.51,0,1751.51,,
135,TAG-DE-DM1061,TAG-DE-DM1061,"Manguera de acero inoxidable 3/4 x 48"" DORMONT",0.0,0.0,0.0,0.0,0.0,,379.1,0,379.1,,
136,1650BP48,1650BP48,"Manguera de gas azul 1/2 x 48"" DORMONT",1.0,1.0,0.0,1.0,1.0,,0,95.48,2005.0800000000002,,Act Nov 2025
137,1675BPQ48,1675BPQ48,"Manguera de gas azul 3/4"" x 48"" con desconexión rápida Snapfast DORMONT",3.0,3.0,0.0,3.0,3.0,,0,180.39,3788.1899999999996,,Act Nov 2025
138,30C-4142-36,30c-4142-36,"Manguera de gas corrugada amarilla 3/4"" X 36"" DORMONT",4.0,0.0,0.0,0.0,0.0,,429.24,0,429.24,,
139,30C-4142-48,30C-4142-48,"Manguera de gas corrugada amarilla 3/4"" X 48"" DORMONT",0.0,0.0,0.0,0.0,0.0,,429.24,0,429.24,2025-03-24T00:00:00,Act Nov 2025
140,1675BP48,1675BP48,"Manguera de gas, suelta, azul, 3/4"" X 48"" DORMONT",4.0,4.0,0.0,4.0,4.0,,0,119.43,2508.03,,Act Nov 2025
141,T3/16,T3/16,T3/16 para piloto,5.0,0.0,0.0,0.0,5.0,,75.0,0,75.0,,Vigencia de precio
142,VAEBV,VAEBV,Valvula alta presión economica bastago grueso uso rudo volante,5.0,0.0,0.0,0.0,5.0,,160.0,0,160.0,2026-05-18T00:00:00,Vigencia de precio
143,VA318M,VA318M,Valvula alta presión maneral mariposa,5.0,0.0,0.0,0.0,5.0,,70.0,0,70.0,2026-05-18T00:00:00,Vigencia de precio
144,VA318C,VA318C,Valvula alta presión para estufa media caña,5.0,0.0,0.0,0.0,5.0,,70.0,0,70.0,2026-05-18T00:00:00,Vigencia de precio
145,VA318R,VA318R,Valvula alta presión para estufa media caña reforzada,5.0,0.0,0.0,0.0,5.0,,100.0,0,100.0,2026-05-18T00:00:00,Vigencia de precio
146,VAPEM,VAPEM,Valvula de alta presión economico bastago delgado con mariposa,5.0,0.0,0.0,0.0,5.0,,19.0,0,19.0,2026-05-18T00:00:00,Vigencia de precio
147,VAEBP,VAEBP,Valvula de alta presión economico con bastago grueso uso rudo,5.0,0.0,0.0,0.0,5.0,,125.0,0,125.0,2026-05-18T00:00:00,Vigencia de precio
148,VBPS,VBPS,Valvula de baja presión tipo sanson corte bajo,3.0,0.0,0.0,0.0,3.0,,300.0,0,300.0,2026-05-18T00:00:00,Vigencia de precio
